CLUES,Clave_Institucion,Institucion,Clave_Entidad,Entidad,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,NOMBRE DE LA UNIDAD,LATITUD,LONGITUD,Observaciones
TSSSA002805,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,041,VICTORIA,0001,CIUDAD VICTORIA,HOSPITAL GENERAL CIVIL VICTORIA DR. JOSÉ MACÍAS HERNÁNDEZ,23.728095,-99.157253,
TSSSA002810,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,041,VICTORIA,0001,CIUDAD VICTORIA,HOSPITAL GENERAL DR. NORBERTO TREVIÑO ZAPATA,23.748326,-99.137855,
TSSSA003732,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,022,MATAMOROS,0001,HEROICA MATAMOROS,HOSPITAL GENERAL DE MATAMOROS,25.827131,-97.532805,
TSSSA005151,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,038,TAMPICO,0001,TAMPICO,HOSPITAL GENERAL DE TAMPICO DR. CARLOS CANSECO,22.253176,-97.859497,
TSSSA018000,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,021,EL MANTE,0001,CIUDAD MANTE,HOSPITAL GENERAL DE CD. MANTE DR. EMILIO MARTÍNEZ MANAUTOU,22.727022,-98.969549,
TSSSA018070,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,032,REYNOSA,0001,REYNOSA,HOSPITAL GENERAL MATERNO INFANTIL DE REYNOSA,26.050745,-98.379484,
TSSSA018292,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,041,VICTORIA,0001,CIUDAD VICTORIA,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD EN CD VICTORIA BICENTENARIO 2010,23.761924,-99.107735,
TSSSA018514,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,003,ALTAMIRA,0203,SANTA AMALIA,HOSPITAL GENERAL ALTAMIRA DR RODOLFO TORRE CANTÚ,22.460086,-97.976746,
TSSSA018526,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,033,RIO BRAVO,0001,CIUDAD RIO BRAVO,HOSPITAL GENERAL RÍO BRAVO,25.994527,-98.123613,
TSSSA018951,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,040,VALLE HERMOSO,0001,VALLE HERMOSO,HOSPITAL GENERAL VALLE HERMOSO DR. RODOLFO TORRE CANTÙ,25.701958,-97.815852,
VZSMA000040,SMA,SECRETARIA DE MARINA,30,VERACRUZ DE IGNACIO DE LA LLAVE,193,VERACRUZ,0001,VERACRUZ,HOSPITAL NAVAL DE ESPECIALIDADES DE VERACRUZ,19.2004237,-96.1315607,
VZSSA001150,SSA,SECRETARIA DE SALUD,30,VERACRUZ DE IGNACIO DE LA LLAVE,039,COATZACOALCOS,0001,COATZACOALCOS,HOSPITAL REGIONAL DE COATZACOALCOS DR.VALENTIN GÓMEZ FARIAS,18.144901,-94.4244,
VZSSA002953,SSA,SECRETARIA DE SALUD,30,VERACRUZ DE IGNACIO DE LA LLAVE,087,XALAPA,0001,XALAPA-ENRIQUEZ,CENTRO ESTATAL DE CANCEROLOGÍA DR. MIGUEL DORANTES MESA,19.544702,-96.923411,
VZSSA002965,SSA,SECRETARIA DE SALUD,30,VERACRUZ DE IGNACIO DE LA LLAVE,087,XALAPA,0001,XALAPA-ENRIQUEZ,CENTRO DE ALTA ESPECIALIDAD  DR. RAFAEL LUCIO,19.551728,-96.935888,
VZSSA004860,SSA,SECRETARIA DE SALUD,30,VERACRUZ DE IGNACIO DE LA LLAVE,138,RIO BLANCO,0001,RIO BLANCO,HOSPITAL REGIONAL RÍO BLANCO,18.83506,-97.12501,
VZSSA006972,SSA,SECRETARIA DE SALUD,30,VERACRUZ DE IGNACIO DE LA LLAVE,193,VERACRUZ,0001,VERACRUZ,HOSPITAL DE ALTA ESPECIALIDAD DE VERACRUZ,19.18562,-96.1321,
VZSSA010212,SSA,SECRETARIA DE SALUD,30,VERACRUZ DE IGNACIO DE LA LLAVE,028,BOCA DEL RIO,0001,BOCA DEL RIO,HOSPITAL GENERAL DE  BOCA DEL RIO,19.10332,-96.108657,
VZSSA016035,SSA,SECRETARIA DE SALUD,30,VERACRUZ DE IGNACIO DE LA LLAVE,160,ALAMO TEMAPACHE,0001,ALAMO,HOSPITAL GENERAL ÁLAMO,20.88483,-97.6537,
YNIST000030,IST,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,31,YUCATAN,050,MERIDA,0001,MERIDA,HR/HAE MÉRIDA,20.9956642,-89.6401182,
YNSDN000014,SDN,SECRETARIA DE LA DEFENSA NACIONAL,31,YUCATAN,050,MERIDA,0001,MERIDA,"HOSPITAL MILITAR REGIONAL DE ESPECIALIDADES DE MÉRIDA, YUC.",20.97082,-89.6434,
YNSMP000056,SMP,SERVICIOS MEDICOS PRIVADOS,31,YUCATAN,050,MERIDA,0001,MERIDA,CLÍNICA DE MÉRIDA SA DE CV,20.9863793,-89.6389544,
YNSMP000281,SMP,SERVICIOS MEDICOS PRIVADOS,31,YUCATAN,050,MERIDA,0001,MERIDA,STAR MEDICA,21.0155987,-89.5848048,
YNSMP000322,SMP,SERVICIOS MEDICOS PRIVADOS,31,YUCATAN,050,MERIDA,0001,MERIDA,INSTITUTO MÉDICO PANAMERICANO / CMA,20.9678,-89.6217,
YNSSA000565,SSA,SECRETARIA DE SALUD,31,YUCATAN,050,MERIDA,0001,MERIDA,HOSPITAL GENERAL DR. AGUSTIN O´HORÁN,20.9752422,-89.6407516,
YNSSA001224,SSA,SECRETARIA DE SALUD,31,YUCATAN,096,TIZIMIN,0001,TIZIMIN,HOSPITAL GENERAL SAN CARLOS,21.1340346,-88.1506375,
YNSSA013423,SSA,SECRETARIA DE SALUD,31,YUCATAN,050,MERIDA,0001,MERIDA,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE LA PENÍNSULA DE YUCATÁN,21.0193421,-89.5819034,
YNSSA013440,SSA,SECRETARIA DE SALUD,31,YUCATAN,102,VALLADOLID,0001,VALLADOLID,HOSPITAL GENERAL DE VALLADOLID,20.7088887,-88.1895839,
ZSSDN000016,SDN,SECRETARIA DE LA DEFENSA NACIONAL,32,ZACATECAS,017,GUADALUPE,0001,GUADALUPE,"HOSPITAL MILITAR DE ZONA DE GUADALUPE, ZAC.",22.74923,-102.50257,
ZSSSA000152,SSA,SECRETARIA DE SALUD,32,ZACATECAS,010,FRESNILLO,0001,FRESNILLO,HOSPITAL GENERAL FRESNILLO (DR. JOSÉ HARO ÁVILA),23.17238,-102.912707,
ZSSSA012450,SSA,SECRETARIA DE SALUD,32,ZACATECAS,017,GUADALUPE,0001,GUADALUPE,HOSPITAL DE LA MUJER,22.744225,-102.500206,
ZSSSA013143,SSA,SECRETARIA DE SALUD,32,ZACATECAS,056,ZACATECAS,0001,ZACATECAS,HOSPITAL GENERAL ZACATECAS LUZ GONZÁLEZ COSIO,22.778268,-102.619871,
