CLUES,Clave_Institucion,Institucion,Clave_Entidad,Entidad,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,NOMBRE DE LA UNIDAD,LATITUD,LONGITUD,Observaciones
MCSSA010292,SSA,SECRETARIA DE SALUD,15,MEXICO,058,NEZAHUALCOYOTL,0001,CIUDAD NEZAHUALCOYOTL,HOSPITAL GENERAL LA PERLA NEZAHUALCOYOTL,19.387644,-98.989264,
MCSSA010345,SSA,SECRETARIA DE SALUD,15,MEXICO,109,TULTITLAN,0025,SAN PABLO DE LAS SALINAS,HOSPITAL GENERAL TULTITLAN SAN PABLO DE LAS SALINAS,19.6768501,-99.0927601,
MCSSA018412,SSA,SECRETARIA DE SALUD,15,MEXICO,099,TEXCOCO,0001,TEXCOCO DE MORA,H.G. TEXCOCO GUADALUPE VICTORIA BICENTENARIO,19.514057,-98.871977,
MCSSA018733,SSA,SECRETARIA DE SALUD,15,MEXICO,013,ATIZAPAN DE ZARAGOZA,0001,CIUDAD LOPEZ MATEOS,HOSPITAL MATERNO INFANTIL GUADALUPE VICTORIA ATIZAPÁN DE ZARAGOZA,19.5973,-99.263184,
MCSSA018774,SSA,SECRETARIA DE SALUD,15,MEXICO,120,ZUMPANGO,0001,ZUMPANGO DE OCAMPO,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE ZUMPANGO,19.814534,-99.088196,
MCSSA018786,SSA,SECRETARIA DE SALUD,15,MEXICO,039,IXTAPALUCA,0017,ZOQUIAPAN,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD IXTAPALUCA,19.3186644,-98.855389,
MNSSA000170,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,006,APATZINGAN,0001,APATZINGAN DE LA CONSTITUCION,HG RAMÓN PONCE ÁLVAREZ,19.0934441,-102.3539507,
MNSSA001862,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,053,MORELIA,0001,MORELIA,HOSPITAL DE LA MUJER,19.692886,-101.154067,
MNSSA001874,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,053,MORELIA,0001,MORELIA,HG INFANTIL EVA SAMANO DE LÓPEZ MATEOS,19.6994961,-101.1810636,
MNSSA001886,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,053,MORELIA,0001,MORELIA,CENTRO ESTATAL DE ATENCION ONCOLOGICA,19.6999058,-101.1825135,
MNSSA001891,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,053,MORELIA,0001,MORELIA,HG DR. MIGUEL SILVA,19.6993648,-101.1832415,
MNSSA003735,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,102,URUAPAN,0001,URUAPAN,HOSPITAL GENERAL DR. PEDRO DANIEL MARTÍNEZ,19.390541,-102.024055,
MNSSA003945,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,108,ZAMORA,0001,ZAMORA DE HIDALGO,HOSPITAL GENERAL ZAMORA,19.989744,-102.279183,
MNSSA005345,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,053,MORELIA,0287,EL EJIDO DE ATAPANEO,"HOSPITAL GENERAL ""DR MIGUEL SILVA""",19.731491,-101.105271,
MNSSA005456,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,053,MORELIA,0287,EL EJIDO DE ATAPANEO,"HOSPITAL INFANTIL ""EVA SAMANO DE LÓPEZ MATEOS""",19.732402,-101.102766,
MNSSA016533,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,069,LA PIEDAD,0001,LA PIEDAD DE CABADAS,HOSPITAL GENERAL LA PIEDAD,20.319359,-102.018441,
MNSSA017400,SSA,SECRETARIA DE SALUD,16,MICHOACAN DE OCAMPO,006,APATZINGAN,0001,APATZINGAN DE LA CONSTITUCION,HOSPITAL GENERAL APATZINGAN,19.064998,-102.325361,
MSSSA000454,SSA,SECRETARIA DE SALUD,17,MORELOS,007,CUERNAVACA,0001,CUERNAVACA,UNIDAD DE ESPECIALIDADES MÉDICAS,18.9367,-99.232,
MSSSA000466,SSA,SECRETARIA DE SALUD,17,MORELOS,007,CUERNAVACA,0001,CUERNAVACA,HG DE CUERNAVACA DR. JOSE G. PARRES,18.9359,-99.2335,
MSSSA000961,SSA,SECRETARIA DE SALUD,17,MORELOS,012,JOJUTLA,0001,JOJUTLA,HG DE JOJUTLA DR. ERNESTO MEANA SAN ROMÁN,18.6177,-99.1907,
MSSSA002361,SSA,SECRETARIA DE SALUD,17,MORELOS,029,YAUTEPEC,0001,YAUTEPEC DE ZARAGOZA,HOSPITAL DE LA MUJER,18.8838,-99.08,
MSSSA002373,SSA,SECRETARIA DE SALUD,17,MORELOS,018,TEMIXCO,0001,TEMIXCO,HOSPITAL GENERAL DE TEMIXCO,18.8368311,-99.2390247,
NLSDN000012,SDN,SECRETARIA DE LA DEFENSA NACIONAL,19,NUEVO LEON,039,MONTERREY,0001,MONTERREY,"HOSPITAL MILITAR REGIONAL DE ESPECIALIDADES DE MONTERREY, N. L.",25.72083,-100.313153,
NLSSA004046,SSA,SECRETARIA DE SALUD,19,NUEVO LEON,046,SAN NICOLAS DE LOS GARZA,0001,SAN NICOLAS DE LOS GARZA,HOSPITAL METROPOLITANO,25.714085,-100.274404,
